Category,Model,Model Year,Manufacturer,Fuel,All Electric Range,Fuel Economy City,Fuel Economy City Units,Fuel Economy Highway,Fuel Economy Highway Units,Gas Fuel Economy City,Gas Fuel Economy Highway,Transmission Type,Transmission Make,Engine Type,Engine Size,Engine Cylinder Count,Number of Passengers,Description,Heavy-Duty Power System
Sedan/Wagon,RLX Hybrid,2016,Acura,Hybrid Electric,,28.0,mpg,32.0,mpg,,,Auto,,SI,3.5L,6,,"",
Sedan/Wagon,A3 Sportback e-tron,2016,Audi,Plug-in Hybrid Electric,,,"",,"",,,Auto,,SI,1.4L,,,"",
SUV,Q5 Hybrid AWD,2016,Audi,Hybrid Electric,,24.0,mpg,30.0,mpg,,,Auto,,SI,2.0,4,,"",
Sedan/Wagon,ActiveHybrid 5,2016,BMW,Hybrid Electric,,23.0,mpg,30.0,mpg,,,Auto,,SI,3.0L,6,,"",
Sedan/Wagon,i3,2016,BMW,Electric,,137.0,Mpge,111.0,Mpge,,,Auto,,SI,125 kW ,,,"",
Sedan/Wagon,i3 REX,2016,BMW,Plug-in Hybrid Electric,,117.0,Mpge Electric,,"",41.0,37.0,Auto,,SI,0.6L,,,"",
Sedan/Wagon,i8 Plug-in Hybrid,2016,BMW,Plug-in Hybrid Electric,,76.0,Mpge Combined Gas + Electric,,"",28.0,29.0,Auto,,SI,1.5L,,,"",
SUV,X5 xDrive40e Plug-in Hybrid,2016,BMW,Plug-in Hybrid Electric,,56.0,Mpge Combined Gas + Electric,,"",21.0,24.0,Auto,,SI,2.0L,,,"",
Sedan/Wagon,ELR,2016,Cadillac,Plug-in Hybrid Electric,,85.0,Mpge Electric,,"",31.0,33.0,Auto,,SI,1.4L,,,"",
Sedan/Wagon,Malibu,2016,Chevrolet,Hybrid Electric,,,"",,"",,,Auto,,SI,1.8L,4,,"",
Sedan/Wagon,Spark,2016,Chevrolet,Electric,,128.0,Mpge,108.0,Mpge,,,Auto,,SI,104 kW,,,"",
Sedan/Wagon,Volt,2016,Chevrolet,Plug-in Hybrid Electric,,106.0,Mpge Electric,,"",42.0,42.0,Auto,,SI,1.4L,,,"",
Sedan/Wagon,500e,2016,Fiat,Electric,,122.0,Mpge,108.0,Mpge,,,Auto,,SI,83kW,,,"",
Sedan/Wagon,C-MAX Energi,2016,Ford,Plug-in Hybrid Electric,,88.0,Mpge Combined Gas + Electric,,"",40.0,36.0,ECVT,,SI,2.0L,,,"",
Sedan/Wagon,C-MAX Hybrid,2016,Ford,Hybrid Electric,,42.0,mpg,37.0,mpg,,,ECVT,,SI,2.0L,4,,"",
Sedan/Wagon,Focus,2016,Ford,Electric,,110.0,Mpge,99.0,Mpge,,,Auto,,SI,107 kW,,,"",
Sedan/Wagon,Fusion Energi,2016,Ford,Plug-in Hybrid Electric,,88.0,Mpge Combined Gas + Electric,,"",40.0,36.0,ECVT,,SI,2.0L,,,"",
Sedan/Wagon,Fusion Hybrid,2016,Ford,Hybrid Electric,,44.0,mpg,41.0,mpg,,,ECVT,,SI,2.0L,4,,"",
Sedan/Wagon,Sonata,2016,Hyundai,Hybrid Electric,,39.0,mpg,43.0,mpg,,,Auto,,SI,2.4L,4,,"",
Sedan/Wagon,Sonata Plug-in Hybrid,2016,Hyundai,Plug-in Hybrid Electric,,99.0,Mpge Electric,,"",38.0,41.0,Auto,,SI,2.4L,,,"",
Sedan/Wagon,Q50 Hybrid FWD/AWD,2016,Infiniti,Hybrid Electric,,,"",,"",,,Auto,,SI,3.5L,6,,"",
Sedan/Wagon,Q50S Hybrid FWD/AWD,2016,Infiniti,Hybrid Electric,,,"",,"",,,Auto,,SI,3.5L,6,,"",
Sedan/Wagon,Q70 Hybrid,2016,Infiniti,Hybrid Electric,,,"",,"",,,Auto,,SI,3.5L,6,,"",
